x,y,z
0.00025503291,0.000288492897,-0.000700006079
0.000275539024,0.00031095488,-0.000753122906
0.000298898746,0.000335610221,-0.000806234077
0.000327206464,0.00036184539,-0.000860719624
0.000358167135,0.00038891008,-0.000914077398
0.000390158545,0.000416335473,-0.00096972561
0.00042700463,0.000443078377,-0.00102163792
0.00046686313,0.000473132805,-0.00106945853
0.000511649385,0.000502957135,-0.00111579559
0.000565332119,0.000539116065,-0.00116705179
0.0006226951,0.000579118457,-0.00122119648
0.000687759181,0.000623519459,-0.00128200634
0.000763526914,0.000672830864,-0.00135257926
0.000851774097,0.000731278018,-0.00142923326
0.000957707435,0.000783305687,-0.001502705
0.00108283113,0.000832208379,-0.00156464014
0.00122502729,0.000873072079,-0.00162399162
0.00139492418,0.000901528184,-0.00168334486
0.00159125204,0.000919748468,-0.00175244144
0.00183306505,0.00093533867,-0.00182952985
0.00212383245,0.000941365142,-0.00190363859
0.0024663323,0.000936014545,-0.00196162938
0.00288576098,0.000944100024,-0.00199062474
0.00340075458,0.000947984827,-0.00193612179
0.00403468822,0.000970253032,-0.0017830424
0.00484356055,0.00100901982,-0.00152945495
0.00590120388,0.00101136583,-0.00115639969
0.00716954983,0.000984771255,-0.000639934039
0.00866459816,0.000846666927,6.20E-05
0.0102733577,0.000669059105,0.000927486892
0.0120572492,0.000448292021,0.00211894622
0.0140812477,0.000235079755,0.00373311467
0.0166616229,-3.66E-05,0.00586119972
0.0197097636,-0.000339751572,0.00837870849
0.0225332473,-0.000473276385,0.0114062457
0.0252064307,-0.000370400393,0.0151551799
0.0277807614,-8.74E-05,0.0196992
0.0301744269,3.05E-04,0.0246371818
0.0326412567,0.000743069,0.0298295216
0.0352663918,0.00117111576,0.0352920403
0.0380895764,0.00149512839,0.0410058694
0.0410522586,1.70E-03,0.0468142915
0.0441171143,0.00180935002,0.0526191982
0.04723813,0.00183992784,0.0582411507
0.0504003087,0.0017284339,0.0636778456
0.0536034563,0.0014832361,0.0689173254
0.0568201618,0.00112822661,0.0739168029
0.0600532494,0.000662412624,0.0786925008
0.0632926752,8.45E-05,0.0832715359
0.0665554596,-0.000598581346,0.0876900036
0.0698783519,-0.00137991096,0.0920014174
0.0732727016,-0.00225064094,0.0962257623
0.0767756826,-0.00318823517,0.100396448
0.0804110313,-0.00417971469,0.104544112
0.0841900999,-0.00521250273,0.108672848
0.0881135913,-0.00625299265,0.112788295
0.0921849775,-0.00727300085,0.116886349
0.0964125025,-0.00826273298,0.120963732
0.100809768,-0.00920493213,0.125004723
0.105374561,-0.0100948507,0.128989613
0.110112138,-0.0109341857,0.132904269
0.115014919,-0.0117191515,0.136724724
0.120074074,-0.0124515912,0.140430066
0.12528486,-0.0131324947,0.144014769
0.130639447,-0.0137657139,0.147454113
0.136127798,-0.014361538,0.150734903
0.141751643,-0.0149222211,0.153846367
0.147511229,-0.0154598469,0.156777284
0.153405203,-0.0159773088,0.159518604
0.159428678,-0.0164729437,0.162069248
0.165582535,-0.0169482446,0.16443552
0.171862754,-0.0174059642,0.166626678
0.178264808,-0.0178427808,0.168651173
0.184789598,-0.018263793,0.170525984
0.19143485,-0.0186671181,0.172262852
0.198197173,-0.0190452129,0.173874239
0.205070932,-0.0193947981,0.175373319
0.212051098,-0.0197156148,0.176761909
0.219136401,-0.0200061027,0.178048541
0.226317277,-0.0202630546,0.179240087
0.233590541,-0.0204932943,0.180333363
0.240944911,-0.0206973816,0.181333528
0.248365805,-0.0208788508,0.182242179
0.255846999,-0.0210378198,0.183057184
0.263378246,-0.0211847839,0.183779057
0.270946302,-0.0213222064,0.184412421
0.278543482,-0.0214497537,0.184957509
0.286154479,-0.0215693897,0.185419513
